elevator_id,location,license_status,license_expiry
11379,200 UNIVERSITY AVE  TORONTO M5H 3C6 ON CA,ACTIVE,2017-03-24
11380,200 UNIVERSITY AVE  TORONTO M5H 3C6 ON CA,ACTIVE,2017-08-03
11381,200 UNIVERSITY AVE  TORONTO M5H 3C6 ON CA,ACTIVE,2017-06-07
11382,200 UNIVERSITY AVE  TORONTO M5H 3C6 ON CA,ACTIVE,2017-03-15
11383,44 VICTORIA ST  TORONTO M5C 1Y2 ON CA,ACTIVE,2017-05-15
11384,44 VICTORIA ST  TORONTO M5C 1Y2 ON CA,ACTIVE,2017-08-15
11385,44 VICTORIA ST  TORONTO M5C 1Y2 ON CA,ACTIVE,2017-05-15
11386,44 VICTORIA ST  TORONTO M5C 1Y2 ON CA,ACTIVE,2017-05-15
11387,44 VICTORIA ST  TORONTO M5C 1Y2 ON CA,ACTIVE,2017-08-15
11388,505 KINGSTON RD  TORONTO M4L 1V5 ON CA,ACTIVE,2017-07-09
11389,1491 YONGE ST  TORONTO M4T 1Z4 ON CA,ACTIVE,2017-06-15
1139,176 DUNDAS ST  LONDON N6A 1G7 ON CA,ACTIVE,2017-07-25
11390,580 CHRISTIE ST  TORONTO M6G 3E3 ON CA,ACTIVE,2017-03-14
11391,580 CHRISTIE ST  TORONTO M6G 3E3 ON CA,ACTIVE,2017-03-15
11392,484 CHURCH ST  TORONTO M4Y 2C7 ON CA,ACTIVE,2017-03-15
11393,484 CHURCH ST  TORONTO M4Y 2C7 ON CA,ACTIVE,2017-03-15
11394,484 CHURCH ST  TORONTO M4Y 2C7 ON CA,ACTIVE,2017-03-15
11395,51 ALEXANDER ST  TORONTO M4Y 1B3 ON CA,ACTIVE,2017-03-15
11396,51 ALEXANDER ST  TORONTO M4Y 1B3 ON CA,ACTIVE,2017-03-15
11397,51 ALEXANDER ST  TORONTO M4Y 1B3 ON CA,ACTIVE,2017-03-15
11398,484 CHURCH ST  TORONTO M4Y 2C7 ON CA,ACTIVE,2017-03-15
11399,51 ALEXANDER ST  TORONTO M4Y 1B3 ON CA,ACTIVE,2017-03-15
11400,31 ALEXANDER ST  TORONTO M4Y 1B2 ON CA,ACTIVE,2017-03-15
11401,31 ALEXANDER ST  TORONTO M4Y 1B2 ON CA,ACTIVE,2017-03-15
11402,31 ALEXANDER ST  TORONTO M4Y 1B2 ON CA,ACTIVE,2017-03-15
11403,31 ALEXANDER ST  TORONTO M4Y 1B2 ON CA,ACTIVE,2017-03-15
11404,1 GREENHOUSE RD  TORONTO M6P 2S2 ON CA,ACTIVE,2017-01-01
11410,60 QUEEN ST W  TORONTO M5H 2M3 ON CA,ACTIVE,2017-01-01
11412,60 QUEEN ST W  TORONTO M5H 2M3 ON CA,ACTIVE,2017-01-01
11413,60 QUEEN ST W  TORONTO M5H 2M3 ON CA,ACTIVE,2017-01-01
11414,511 RICHMOND ST W  WORKS DEPT  TORONTO M5V 1Y3 ON CA,ACTIVE,2017-01-01
11419,115 DOWLING AVE  TORONTO M6K 3A3 ON CA,ACTIVE,2017-03-15
11420,115 DOWLING AVE  TORONTO M6K 3A3 ON CA,ACTIVE,2017-03-15
11444,333 BLOOR ST E  TORONTO M4W 1G9 ON CA,ACTIVE,2017-04-01
11445,333 BLOOR ST E  TORONTO M4W 1G9 ON CA,ACTIVE,2017-11-21
11446,333 BLOOR ST E  TORONTO M4W 1G9 ON CA,ACTIVE,2017-11-21
11447,333 BLOOR ST E  TORONTO M4W 1G9 ON CA,ACTIVE,2017-02-10
11453,260 RICHMOND ST W  TORONTO M5V 1W5 ON CA,ACTIVE,2017-08-15
11463,244 EGLINTON AVE E  TORONTO M4P 1K2 ON CA,ACTIVE,2017-09-15
11464,200 KING ST E  TORONTO M5A 3W8 ON CA,ACTIVE,2017-05-15
11466,720 BATHURST ST  TORONTO M5S 2R4 ON CA,ACTIVE,2017-06-29
11469,149 SOUTH DR  TORONTO M4W 1S3 ON CA,ACTIVE,2017-03-15
11470,46 SPADINA AVE  TORONTO M5V 2H8 ON CA,ACTIVE,2017-04-15
11471,815 DANFORTH AVE  TORONTO M4J 1L2 ON CA,ACTIVE,2017-01-15
11472,815 DANFORTH AVE  TORONTO M4J 1L2 ON CA,ACTIVE,2017-01-15
11473,120 BLOOR ST E  TORONTO M4W 1B7 ON CA,ACTIVE,2017-06-28
11474,120 BLOOR ST E  TORONTO M4W 1B7 ON CA,ACTIVE,2017-07-08
